"","S001","S002","S003","S004","S005","S006","S007","S008","S009","S010","S011","S012","S013","S014","S015","S016","S017","S018","S019","S020","S021","S022","S023","S024","S025","S026","S027","S028","S029","S030","S031","S032","S033","S034","S035"
"S011",0.130995767819428,0.270449260715087,0.0927791603023093,0.290012042890181,0.28018307310347,0.23378274555045,0.278145542554658,0.250204125057103,0.342208383762484,0.28319092269639,0,0.118030181874218,0.293522391834135,0.11462738298804,0.0385139753005866,0.28732937830924,0.280982487299972,0.299763409472869,0.248988970015069,0.092385454114663,0.197531654485586,0.261999549314317,0.291741916950738,0.118744604022281,0.158952781518165,0.144152512248719,0.328316056212421,0.0940466299153093,0.117140245722624,0.340748281061127,0.305496846049062,0.224323466145289,0.27611732344333,0.239811452220724,0.251691065997611
"S012",0.125466889747139,0.267010093640773,0.0842801592542895,0.280276457371857,0.285030579601075,0.26429502134951,0.272377605603247,0.251001315448416,0.345210842435797,0.278838160481923,0.118030181874218,0,0.274218016367379,0.171178867108881,0.115319874684937,0.28156685301895,0.28673665495687,0.307688566982869,0.258166201960393,0.0940132504176046,0.206440283566807,0.259723437097922,0.287815721821543,0.146762669639805,0.152727748487058,0.145513240715809,0.343410079989841,0.0843804589657364,0.147268225611265,0.336903974412249,0.288303266917545,0.208883373777223,0.279395303786627,0.254778128851006,0.247902672562344
"S013",0.282891370956532,0.170648112021115,0.267827278876574,0.175977674531029,0.186023984764014,0.218027431034172,0.0721639046436837,0.303721373891494,0.337004813357907,0.159217707415011,0.293522391834135,0.274218016367379,0,0.295325701053959,0.290908500114084,0.151651444448249,0.167689429883068,0.189294429393231,0.260451902174215,0.25943360589104,0.276936842592238,0.294654780057243,0.177113228051285,0.297281518883743,0.278340172750504,0.248472708662601,0.356731584396965,0.268669944801249,0.28155766006727,0.351035593240168,0.309554958468454,0.269839228793596,0.258807050508175,0.227475580575525,0.115113769545093
"S014",0.167208325517321,0.270569763060086,0.154841184908605,0.298951580388776,0.276373544382136,0.258406082772724,0.280995712053228,0.265730173826812,0.338271989602921,0.290843269683765,0.11462738298804,0.171178867108881,0.295325701053959,0,0.114907062272171,0.307276260700913,0.293856681834736,0.301119840866033,0.273147911587806,0.156205739688078,0.2255053510703,0.273017115589998,0.29823507936928,0.164991249991685,0.173519832493359,0.156482434085175,0.327443791396067,0.154841184908605,0.154636737376162,0.336084493325618,0.303288505284582,0.21888430680653,0.297280372542134,0.240881796712648,0.262157956518129
"S015",0.129769702316035,0.269960916706638,0.0883126001543541,0.287664990762799,0.288117009154616,0.247713640257427,0.276588256551129,0.256606673298261,0.334640660063066,0.27857466089754,0.0385139753005866,0.115319874684937,0.290908500114084,0.114907062272171,0,0.294616396831655,0.287780937887468,0.313896568321076,0.253578724907726,0.0974154797088416,0.198643584802504,0.258560136162801,0.290334978627214,0.1147479023425,0.15356133371289,0.140905920523715,0.328645110629884,0.0888927735527631,0.10792429628965,0.336253791193913,0.297044318649686,0.2063429802369,0.271632511971882,0.240376663088338,0.255225138727762
"S016",0.283258396608589,0.146263081051299,0.272784893046743,0.155991623632247,0.19517503329692,0.239037360719482,0.128700025586058,0.285775107984478,0.328234317018061,0.167660485001399,0.28732937830924,0.28156685301895,0.151651444448249,0.307276260700913,0.294616396831655,0,0.139409927824301,0.196252296316025,0.250976498531728,0.279151701229534,0.273772915625387,0.269095393877988,0.157976510751012,0.286327742937414,0.302667102163611,0.272838532890455,0.375356927040164,0.272560188436988,0.268578645005991,0.340601993033894,0.325856202062379,0.278148988013139,0.2748492294544,0.230279956101608,0.149165202020096
"S017",0.294637465799546,0.168003930791321,0.274092760194035,0.176174437760679,0.189065449925573,0.221011089358044,0.160567656361168,0.284460120875197,0.302507109010573,0.168046741737074,0.280982487299972,0.28673665495687,0.167689429883068,0.293856681834736,0.287780937887468,0.139409927824301,0,0.189949906029873,0.259370820671968,0.285015101057987,0.255049027763489,0.265922815043305,0.18458449583421,0.289185992891165,0.296046295483756,0.254917874157992,0.323215921729132,0.277720561105671,0.280801176850762,0.31028054130689,0.311108368758821,0.27461474997129,0.273910026030543,0.243505385613799,0.165068414174142
"S018",0.300030942162939,0.188542711841676,0.289229840410396,0.203364183314437,0.120936786934761,0.250937276381309,0.179421092071044,0.286993560265768,0.349404241042281,0.205994551744031,0.299763409472869,0.307688566982869,0.189294429393231,0.301119840866033,0.313896568321076,0.196252296316025,0.189949906029873,0,0.258350954135144,0.283613071289845,0.279452616741695,0.294908156968451,0.198572311557455,0.299193743599743,0.313559389378758,0.275475774084019,0.364747907096626,0.289229840410396,0.299345068565057,0.341107245028556,0.325298370490056,0.284050475120496,0.2812495217382,0.244574870305787,0.195632699849812
"S019",0.257035550061742,0.255377362894695,0.255759726027779,0.278179386692593,0.252932963491945,0.216985408801114,0.246476573481142,0.276061282436199,0.332708861685333,0.275995977109423,0.248988970015069,0.258166201960393,0.260451902174215,0.273147911587806,0.253578724907726,0.250976498531728,0.259370820671968,0.258350954135144,0,0.245228429745547,0.278911855662787,0.277979595554865,0.281236638151103,0.263136159052824,0.267843840760633,0.258477808400693,0.341344280492545,0.255759726027779,0.266293920552558,0.322621710475543,0.361650506968279,0.252238213701653,0.247145525732833,0.17263936292309,0.216032430811795
"S020",0.0939626737991233,0.261719098431727,0.0705656182911935,0.279049498817917,0.263924880195658,0.247061754830743,0.243482883618604,0.235887293170832,0.342278269783331,0.272149910544773,0.092385454114663,0.0940132504176046,0.25943360589104,0.156205739688078,0.0974154797088416,0.279151701229534,0.285015101057987,0.283613071289845,0.245228429745547,0,0.206624051496097,0.245888626824256,0.279453453286803,0.12328634825836,0.140609664849919,0.125777291518109,0.328071788482385,0.0713617088674958,0.132503747630116,0.340082785559017,0.293712409998574,0.213550023379299,0.260437376834129,0.225845950568787,0.233096136480558
"S021",0.196962745815335,0.261308336456033,0.201193213549433,0.285872742936741,0.270021115723354,0.265197556429164,0.27860962184038,0.254099806457659,0.33159699522027,0.278993323324288,0.197531654485586,0.206440283566807,0.276936842592238,0.2255053510703,0.198643584802504,0.273772915625387,0.255049027763489,0.279452616741695,0.278911855662787,0.206624051496097,0,0.266087310932975,0.282906089337559,0.219297690862114,0.218414701715781,0.209945288233181,0.344313303774207,0.202712128211877,0.197236748524713,0.337447145718472,0.296567555674979,0.200943187326616,0.256634680891761,0.264009047683848,0.255230027649362
